48, 2019/12/18 04:54:00, 1007.8,   13.2, 60.0, 12.043,      238,    1199,      174,    1200,     1105,    1200

49, 2019/12/18 05:14:00, 1008.3,   13.5, 60.7, 12.039,      256,    1200,      195,    1200,     1068,    1200

50, 2019/12/18 05:34:00, 1008.4,   13.6, 60.8, 12.040,      234,    1200,      177,    1200,     1057,    1200

51, 2019/12/18 05:54:00, 1008.9,   13.5, 60.5, 12.039,      220,    1200,      185,    1200,     1047,    1200

52, 2019/12/18 06:14:00, 1009.6,   13.5, 60.4, 12.037,      259,    1200,      148,    1200,     1049,    1200

53, 2019/12/18 06:34:00, 1010.1,   13.4, 60.3, 12.035,      251,    1200,      181,    1199,     1069,    1200

54, 2019/12/18 06:54:00, 1010.4,   13.3, 60.3, 12.034,      213,    1200,      173,    1200,     1080,    1200

55, 2019/12/18 07:14:00, 1011.1,   13.1, 60.1, 12.032,      232,    1200,      178,    1200,     1139,    1200

56, 2019/12/18 07:34:00, 1011.7,   13.0, 59.9, 12.043,      239,    1200,      161,    1200,     1103,    1200

57, 2019/12/18 07:54:00, 1012.5,   12.8, 59.9, 12.057,      231,    1200,      156,    1200,     1044,    1199

58, 2019/12/18 08:14:00, 1012.7,   12.6, 59.9, 12.151,      228,    1200,      169,    1200,     1072,    1200

59, 2019/12/18 08:34:00, 1013.2,   12.5, 59.8, 12.123,      258,    1200,      171,    1200,     1028,    1200

60, 2019/12/18 08:54:00, 1013.6,   12.3, 59.8, 12.241,      240,    1200,      154,    1200,     1081,    1200

61, 2019/12/18 09:14:00, 1014.0,   12.3, 59.9, 12.420,      248,    1200,      140,    1200,     1099,    1200

62, 2019/12/18 09:34:00, 1014.3,   12.3, 59.9, 12.813,      215,    1200,      170,    1200,     1057,    1200

63, 2019/12/18 09:54:00, 1014.7,   12.5, 59.7, 12.476,      256,    1199,      167,    1200,     1099,    1200

64, 2019/12/18 10:14:00, 1014.7,   12.5, 59.4, 12.503,      259,    1200,      161,    1200,     1055,    1200

65, 2019/12/18 10:34:00, 1014.9,   12.5, 59.3, 12.465,      244,    1200,      166,    1200,     1042,    1200

66, 2019/12/18 10:54:00, 1015.1,   12.4, 59.2, 12.427,      223,    1200,      168,    1200,     1089,    1200

67, 2019/12/18 11:14:00, 1015.4,   12.4, 59.2, 12.465,      225,    1200,      190,    1199,     1141,    1200

68, 2019/12/18 11:34:00, 1015.6,   12.4, 59.1, 12.474,      200,    1200,      162,    1200,     1042,    1200

69, 2019/12/18 11:54:00, 1015.7,   12.5, 59.1, 12.996,      241,    1200,      185,    1200,     1014,    1200

70, 2019/12/18 12:14:00, 1015.8,   12.9, 58.9, 12.739,      220,    1200,      173,    1200,      999,    1200

71, 2019/12/18 12:34:00, 1016.0,   13.2, 58.9, 13.946,      228,    1200,      156,    1200,     1103,    1200

72, 2019/12/18 12:54:00, 1016.1,   14.7, 57.7, 13.618,      231,    1200,      171,    1200,     1028,    1200

73, 2019/12/18 13:14:00, 1016.1,   14.8, 57.0, 13.541,      202,    1200,      168,    1200,     1074,    1200

74, 2019/12/18 13:34:00, 1016.2,   15.6, 56.5, 13.355,      218,    1200,      182,    1200,     1049,    1200

75, 2019/12/18 13:54:00, 1016.5,   16.0, 55.6, 12.712,      237,    1200,      158,    1200,     1042,    1200

76, 2019/12/18 14:14:00, 1016.7,   15.2, 56.1, 12.674,      220,    1199,      189,    1198,     1092,    1200

77, 2019/12/18 14:34:00, 1016.9,   14.4, 56.9, 12.522,      227,    1199,      171,    1200,     1020,    1200

78, 2019/12/18 14:54:00, 1017.2,   13.1, 57.7, 12.466,      264,    1200,      168,    1200,      986,    1200

79, 2019/12/18 15:14:00, 1017.7,   11.9, 58.6, 12.436,      224,    1200,      155,    1200,     1017,    1200

80, 2019/12/18 15:34:00, 1017.9,   10.8, 59.3, 12.419,      208,    1200,      184,    1200,     1050,    1200

81, 2019/12/18 15:54:00, 1018.1,   10.0, 59.9, 12.405,      219,    1200,      173,    1199,     1022,    1200

82, 2019/12/18 16:14:00, 1018.3,    9.3, 60.1, 12.393,      220,    1200,      161,    1200,     1055,    1200

83, 2019/12/18 16:34:00, 1018.4,    8.7, 60.3, 12.382,      219,    1200,      172,    1200,     1016,    1200

84, 2019/12/18 16:54:00, 1018.7,    8.1, 60.3, 12.351,      230,    1200,      158,    1200,     1068,    1200

85, 2019/12/18 17:14:00, 1018.8,    7.6, 60.4, 12.362,      213,    1200,      155,    1200,     1086,    1200

86, 2019/12/18 17:34:00, 1019.0,    7.1, 60.2, 12.352,      219,    1200,      192,    1200,     1015,    1200

87, 2019/12/18 17:54:00, 1019.2,    6.5, 60.2, 12.343,      227,    1200,      171,    1200,     1017,    1200

88, 2019/12/18 18:14:00, 1019.5,    6.0, 60.2, 12.334,      217,    1200,      159,    1200,     1040,    1200

89, 2019/12/18 18:34:00, 1019.5,    5.5, 60.2, 12.324,      208,    1200,      178,    1200,     1007,    1200

90, 2019/12/18 18:54:00, 1019.5,    5.2, 60.2, 12.318,      226,    1200,      171,    1200,      980,    1200

91, 2019/12/18 19:14:00, 1019.6,    4.8, 60.1, 12.310,      231,    1200,      158,    1200,     1006,    1200

92, 2019/12/18 19:34:00, 1020.0,    4.4, 60.0, 12.301,      222,    1200,      170,    1200,      999,    1200

93, 2019/12/18 19:54:00, 1020.1,    4.0, 60.0, 12.293,      234,    1200,      164,    1200,     1033,    1200

94, 2019/12/18 20:14:00, 1020.0,    3.6, 59.8, 12.282,      220,    1199,      350,    1200,     1017,    1200

95, 2019/12/18 20:34:00, 1020.1,    3.3, 59.8, 12.277,      238,    1200,      149,    1200,     1003,    1200

96, 2019/12/18 20:54:00, 1019.9,    3.2, 59.9, 12.269,      233,    1200,      129,    1200,      984,    1200

97, 2019/12/18 21:14:00, 1020.1,    3.1, 59.8, 12.261,      210,    1200,      150,    1199,     1027,    1200

98, 2019/12/18 21:34:00, 1020.2,    3.0, 59.6, 12.253,      201,    1200,      141,    1200,      989,    1200

99, 2019/12/18 21:54:00, 1020.3,    2.9, 59.5, 12.244,      238,    1200,      152,    1200,     1021,    1200

